Layer,Head,UUAS
0,0,0.1513
0,1,0.2330
0,2,0.3823
0,3,0.3805
0,4,0.1908
0,5,0.2739
0,6,0.1908
0,7,0.1545
0,8,0.4009
0,9,0.1913
0,10,0.4251
0,11,0.3811
1,0,0.1343
1,1,0.3913
1,2,0.1657
1,3,0.1551
1,4,0.3956
1,5,0.1902
1,6,0.2829
1,7,0.1209
1,8,0.1288
1,9,0.1389
1,10,0.3300
1,11,0.1292
2,0,0.3910
2,1,0.3803
2,2,0.1547
2,3,0.1300
2,4,0.2209
2,5,0.1517
2,6,0.1705
2,7,0.1854
2,8,0.1607
2,9,0.3891
2,10,0.2326
2,11,0.3913
3,0,0.0944
3,1,0.2063
3,2,0.1401
3,3,0.2852
3,4,0.1698
3,5,0.3918
3,6,0.1348
3,7,0.1596
3,8,0.2822
3,9,0.5120
3,10,0.5128
3,11,0.3097
4,0,0.3541
4,1,0.1544
4,2,0.1329
4,3,0.1640
4,4,0.2315
4,5,0.5253
4,6,0.3279
4,7,0.4474
4,8,0.1988
4,9,0.2528
4,10,0.3205
4,11,0.4089
5,0,0.4621
5,1,0.3878
5,2,0.1426
5,3,0.2888
5,4,0.2421
5,5,0.2176
5,6,0.3720
5,7,0.5114
5,8,0.3388
5,9,0.4450
5,10,0.3839
5,11,0.2852
6,0,0.3021
6,1,0.1892
6,2,0.2828
6,3,0.3964
6,4,0.4456
6,5,0.6003
6,6,0.4298
6,7,0.2199
6,8,0.2685
6,9,0.3370
6,10,0.3363
6,11,0.3904
7,0,0.2300
7,1,0.4299
7,2,0.4175
7,3,0.3272
7,4,0.3838
7,5,0.3386
7,6,0.4953
7,7,0.3167
7,8,0.1844
7,9,0.3437
7,10,0.6413
7,11,0.3826
8,0,0.3779
8,1,0.2468
8,2,0.3871
8,3,0.2802
8,4,0.2900
8,5,0.5275
8,6,0.3430
8,7,0.2653
8,8,0.1757
8,9,0.3428
8,10,0.3731
8,11,0.3064
9,0,0.3743
9,1,0.3187
9,2,0.1789
9,3,0.3072
9,4,0.2605
9,5,0.2260
9,6,0.1786
9,7,0.4307
9,8,0.2998
9,9,0.3100
9,10,0.2521
9,11,0.1381
10,0,0.1078
10,1,0.1291
10,2,0.1258
10,3,0.1116
10,4,0.1215
10,5,0.1141
10,6,0.1408
10,7,0.1113
10,8,0.1738
10,9,0.1197
10,10,0.4376
10,11,0.1668
11,0,0.1164
11,1,0.1197
11,2,0.1200
11,3,0.1168
11,4,0.1111
11,5,0.1390
11,6,0.0993
11,7,0.1224
11,8,0.1615
11,9,0.1449
11,10,0.1271
11,11,0.1211
